iter	RMSE
0	0.4291525683
1	0.4289517661
2	0.4287220128
3	0.4284590626
4	0.4282135745
5	0.4279698191
6	0.4278119189
7	0.4276346481
8	0.4274672506
9	0.4272957377
10	0.4271375973
11	0.4270258953
12	0.4268706017
13	0.4267683509
14	0.4266434513
15	0.4264821266
16	0.4262966039
17	0.4260340398
18	0.4258638857
19	0.4257452014
20	0.4255550261
21	0.4254416643
22	0.4252868049
23	0.4250767607
24	0.4249161075
25	0.4247987808
26	0.4246088276
27	0.4243963412
28	0.4242229692
29	0.424067287
30	0.423824475
31	0.4237037394
32	0.4235367144
33	0.4233114268
34	0.4230958029
35	0.4228737686
36	0.4227275961
37	0.4226416547
38	0.4224668734
39	0.4223142796
40	0.4222075888
41	0.4220203108
42	0.4218689784
43	0.4217212862
44	0.4215553291
45	0.4213425937
46	0.4211215737
47	0.4209281124
48	0.4207536612
49	0.4206223595
50	0.4204691701
51	0.4202939873
52	0.4201090641
53	0.4199436983
54	0.4197892232
55	0.4197093764
56	0.4195769059
57	0.4194450516
58	0.4192614676
59	0.4190720313
60	0.4189016109
61	0.4187685656
62	0.4185732134
63	0.4184299954
64	0.4182885972
65	0.4181740034
66	0.4180007891
67	0.4178282353
68	0.4176170287
69	0.4173909277
70	0.4172596288
71	0.4171338345
72	0.4169997056
73	0.4169381657
74	0.4168184945
75	0.4166703771
76	0.416464857
77	0.4163261112
78	0.4162114053
79	0.4160649407
80	0.415939752
81	0.4156774231
82	0.4155326449
83	0.4154055931
84	0.4152703513
85	0.415200605
86	0.4151044061
87	0.4149266726
88	0.4147438779
89	0.4146200145
90	0.4144689726
91	0.4143530059
92	0.4142260471
93	0.41405156
94	0.4138622153
95	0.4137190266
96	0.413598167
97	0.4133998068
98	0.413273324
99	0.4131104303
100	0.4129851276
101	0.4128297667
102	0.4126890237
103	0.4125341891
104	0.4124308743
105	0.4122157111
106	0.4121086976
107	0.4120150981
108	0.4119151599
109	0.4117210611
110	0.4115454293
111	0.4114359041
112	0.4113556159
113	0.4112451066
114	0.4111362054
115	0.4110190672
116	0.4108882434
117	0.410767448
118	0.4106179344
119	0.4104060613
120	0.4102562209
121	0.4101106879
122	0.4100021122
123	0.4098800583
124	0.4097518813
125	0.4095642147
126	0.4093588899
127	0.4091739203
128	0.4090828887
129	0.408879641
130	0.408657038
131	0.4084910815
132	0.4083632725
133	0.4082126083
134	0.4080406457
135	0.4078102033
136	0.4076627956
137	0.4074801981
138	0.407305547
139	0.4072089875
140	0.4071008442
141	0.4069546941
142	0.406846114
143	0.4067333152
144	0.4065953931
145	0.4064538177
146	0.4062468681
147	0.4060956419
148	0.405940133
149	0.4058105756
150	0.4056994375
151	0.4055639967
152	0.4054641674
153	0.4053259992
154	0.4051904137
155	0.4050824369
156	0.4049153819
157	0.4047536115
158	0.404593682
159	0.4043490379
160	0.4041831146
161	0.4040014782
162	0.4038086115
163	0.4036418603
164	0.4034741863
165	0.4033644899
166	0.4032286043
167	0.4030226086
168	0.4028846433
169	0.4027377915
170	0.4025816831
171	0.4024745662
172	0.4022852351
173	0.4020925381
174	0.401981111
175	0.4018060157
176	0.401630682
177	0.4014822343
178	0.4013669841
179	0.4011961102
180	0.4010050188
181	0.4008568337
182	0.4007168393
183	0.4005218964
184	0.4003880635
185	0.4002291641
186	0.4000835835
187	0.3999527086
188	0.3997720387
189	0.3996188918
190	0.3995268953
191	0.3993235247
192	0.3992220522
193	0.399062309
194	0.3989537257
195	0.3988019424
196	0.3985400698
197	0.3984077215
198	0.3982543751
199	0.398094596
200	0.3979700868
201	0.3978164533
202	0.397656714
203	0.397532143
204	0.3973815566
205	0.3972388358
206	0.397119888
207	0.3969652408
208	0.3967818597
209	0.3965797659
210	0.3963922188
211	0.3962882861
212	0.3960636814
213	0.3959535809
214	0.3958172815
215	0.3956586524
216	0.3955689334
217	0.3953975667
218	0.395232717
219	0.395029885
220	0.3948446837
221	0.3946622852
222	0.3944707279
223	0.394295637
224	0.3941904166
225	0.3940317119
226	0.3938681202
227	0.3936993848
228	0.3935790203
229	0.3934437095
230	0.3932709474
231	0.3931116395
232	0.3929765129
233	0.3928348426
234	0.3926464334
235	0.3925002361
236	0.3923465773
237	0.3921867012
238	0.3920753791
239	0.3919746145
240	0.3918233338
241	0.3916101626
242	0.391468762
243	0.3913275512
244	0.3911639247
245	0.3910158897
246	0.3909121509
247	0.3907621972
248	0.3905980341
249	0.390466317
250	0.3903278495
251	0.3901518159
252	0.3900205109
253	0.3897948791
254	0.3896501786
255	0.3895160507
256	0.3893795799
257	0.3892827471
258	0.3891580573
259	0.3889892846
260	0.3888136446
261	0.3887154643
262	0.3885880992
263	0.3884519659
264	0.3883352889
265	0.3882110836
266	0.3880157918
267	0.3878512008
268	0.3876537664
269	0.3875148777
270	0.3873802242
271	0.3871829366
272	0.3870325622
273	0.386864187
274	0.3866998069
275	0.3864629632
