iter	Passed	Remaining
0	4	4259
1	8	4099
2	12	4208
3	16	4073
4	20	4011
5	23	3914
6	27	3867
7	30	3829
8	34	3799
9	38	3766
10	41	3742
11	45	3755
12	49	3728
13	52	3703
14	56	3678
15	59	3672
16	63	3674
17	67	3656
18	70	3636
19	75	3715
20	80	3756
21	84	3761
22	90	3838
23	94	3847
24	98	3825
25	101	3813
26	105	3804
27	109	3788
28	112	3765
29	116	3751
30	119	3748
31	123	3749
32	127	3743
33	131	3734
34	135	3741
35	139	3746
36	143	3730
37	146	3715
38	150	3701
39	153	3688
40	157	3680
41	160	3667
42	164	3658
43	168	3653
44	171	3642
45	175	3629
46	178	3628
47	182	3617
48	185	3607
49	189	3597
50	193	3594
51	197	3604
52	201	3604
53	205	3600
54	209	3595
55	213	3590
56	216	3585
57	220	3576
58	223	3566
59	227	3558
60	230	3548
61	234	3542
62	237	3536
63	241	3530
64	244	3520
65	248	3515
66	252	3512
67	256	3510
68	259	3505
69	263	3498
70	266	3493
71	271	3493
72	274	3491
73	278	3488
74	282	3484
75	286	3477
76	289	3473
77	293	3464
78	296	3460
79	300	3458
80	304	3455
81	308	3450
82	312	3451
83	316	3451
84	320	3447
85	323	3442
86	328	3448
87	332	3444
88	336	3439
89	339	3435
90	344	3437
91	349	3448
92	353	3444
93	356	3437
94	360	3434
95	364	3429
96	367	3425
97	371	3422
98	375	3420
99	379	3417
100	383	3412
101	387	3409
102	391	3407
103	394	3401
104	398	3398
105	402	3397
106	407	3404
107	411	3402
108	415	3399
109	419	3393
110	423	3388
111	427	3385
112	430	3379
113	434	3376
114	438	3376
115	443	3376
116	447	3374
117	451	3371
118	454	3367
119	458	3361
120	462	3357
121	465	3351
122	469	3347
123	473	3342
124	476	3336
125	481	3339
126	485	3335
127	488	3330
128	492	3325
129	496	3323
130	500	3320
131	504	3316
132	508	3311
133	512	3313
134	516	3308
135	520	3303
136	523	3297
137	526	3290
138	530	3285
139	534	3282
140	538	3283
141	542	3280
142	547	3278
143	551	3278
144	556	3279
145	560	3277
146	564	3274
147	568	3271
148	572	3269
149	576	3267
150	581	3267
151	584	3262
152	588	3257
153	592	3253
154	596	3252
155	600	3249
156	604	3243
157	607	3238
158	611	3233
159	615	3231
160	619	3227
161	622	3222
162	626	3219
163	630	3215
164	634	3210
165	637	3205
166	641	3199
167	644	3194
168	648	3188
169	652	3183
170	655	3180
171	659	3175
172	663	3169
173	666	3163
174	670	3160
175	674	3156
176	678	3154
177	682	3150
178	686	3147
179	690	3147
180	694	3143
181	698	3139
182	702	3136
183	706	3131
184	710	3128
185	714	3125
186	718	3122
187	721	3117
188	725	3114
189	729	3109
190	733	3105
191	737	3104
192	741	3100
193	745	3098
194	749	3093
195	752	3088
196	756	3084
